resource,service,total_props,required_props,required_names
AWS::CloudFront::AnycastIpList,CloudFront,5,2,"IpCount, Name"
AWS::IoTWireless::WirelessDevice,IoTWireless,9,2,"Type, DestinationName"
AWS::IoTWireless::WirelessDeviceImportTask,IoTWireless,3,2,"DestinationName, Sidewalk"
AWS::KMS::Alias,KMS,2,2,"TargetKeyId, AliasName"
AWS::KafkaConnect::WorkerConfiguration,KafkaConnect,4,2,"PropertiesFileContent, Name"
AWS::Cases::CaseRule,Cases,5,2,"Rule, Name"
AWS::CloudFormation::StackSet,CloudFormation,15,2,"StackSetName, PermissionModel"
AWS::CloudFormation::ResourceVersion,CloudFormation,4,2,"TypeName, SchemaHandlerPackage"
AWS::Kinesis::ResourcePolicy,Kinesis,2,2,"ResourceArn, ResourcePolicy"
AWS::Kinesis::StreamConsumer,Kinesis,3,2,"ConsumerName, StreamARN"
AWS::KinesisAnalytics::ApplicationOutput,KinesisAnalytics,2,2,"ApplicationName, Output"
AWS::KinesisAnalytics::ApplicationReferenceDataSource,KinesisAnalytics,2,2,"ApplicationName, ReferenceDataSource"
AWS::KinesisAnalyticsV2::Application,KinesisAnalyticsV2,9,2,"RuntimeEnvironment, ServiceExecutionRole"
AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption,KinesisAnalyticsV2,2,2,"ApplicationName, CloudWatchLoggingOption"
AWS::IoTSiteWise::Dataset,IoTSiteWise,4,2,"DatasetName, DatasetSource"
AWS::IoTSiteWise::Asset,IoTSiteWise,7,2,"AssetModelId, AssetName"
AWS::IoTFleetWise::ModelManifest,IoTFleetWise,6,2,"SignalCatalogArn, Name"
AWS::IoTFleetWise::Fleet,IoTFleetWise,4,2,"Id, SignalCatalogArn"
AWS::ImageBuilder::DistributionConfiguration,ImageBuilder,4,2,"Name, Distributions"
AWS::ImageBuilder::ImagePipeline,ImageBuilder,15,2,"Name, InfrastructureConfigurationArn"
AWS::ImageBuilder::InfrastructureConfiguration,ImageBuilder,14,2,"InstanceProfileName, Name"
AWS::CloudFront::StreamingDistribution,CloudFront,2,2,"StreamingDistributionConfig, Tags"
AWS::IoT::CACertificate,IoT,8,2,"Status, CACertificatePem"
AWS::IoT::CertificateProvider,IoT,4,2,"LambdaFunctionArn, AccountDefaultForOperations"
AWS::IoT::Dimension,IoT,4,2,"Type, StringValues"
AWS::IoT::JobTemplate,IoT,13,2,"Description, JobTemplateId"
AWS::IoT::MitigationAction,IoT,4,2,"ActionParams, RoleArn"
AWS::IoT::PolicyPrincipalAttachment,IoT,2,2,"PolicyName, Principal"
AWS::IoT::ProvisioningTemplate,IoT,8,2,"ProvisioningRoleArn, TemplateBody"
AWS::CloudFront::MonitoringSubscription,CloudFront,2,2,"MonitoringSubscription, DistributionId"
AWS::IoT::ScheduledAudit,IoT,6,2,"TargetCheckNames, Frequency"
AWS::IoT::ThingPrincipalAttachment,IoT,3,2,"Principal, ThingName"
AWS::IoTEvents::AlarmModel,IoTEvents,9,2,"AlarmRule, RoleArn"
AWS::IoTEvents::DetectorModel,IoTEvents,7,2,"DetectorModelDefinition, RoleArn"
AWS::IoTFleetWise::DecoderManifest,IoTFleetWise,8,2,"ModelManifestArn, Name"
AWS::KinesisAnalyticsV2::ApplicationOutput,KinesisAnalyticsV2,2,2,"ApplicationName, Output"
AWS::KinesisAnalyticsV2::ApplicationReferenceDataSource,KinesisAnalyticsV2,2,2,"ApplicationName, ReferenceDataSource"
AWS::LakeFormation::Permissions,LakeFormation,4,2,"DataLakePrincipal, Resource"
AWS::Lightsail::LoadBalancer,Lightsail,9,2,"LoadBalancerName, InstancePort"
AWS::Location::APIKey,Location,8,2,"KeyName, Restrictions"
AWS::Location::Map,Location,5,2,"MapName, Configuration"
AWS::Location::PlaceIndex,Location,6,2,"IndexName, DataSource"
AWS::OpsWorks::ElasticLoadBalancerAttachment,OpsWorks,2,2,"ElasticLoadBalancerName, LayerId"
AWS::Location::TrackerConsumer,Location,2,2,"TrackerName, ConsumerArn"
AWS::CleanRooms::Membership,CleanRooms,8,2,"CollaborationIdentifier, QueryLogStatus"
AWS::Logs::Delivery,Logs,7,2,"DeliveryDestinationArn, DeliverySourceName"
AWS::Chatbot::CustomAction,Chatbot,5,2,"ActionName, Definition"
AWS::Logs::QueryDefinition,Logs,4,2,"QueryString, Name"
AWS::Logs::ResourcePolicy,Logs,2,2,"PolicyName, PolicyDocument"
AWS::Logs::Transformer,Logs,2,2,"TransformerConfig, LogGroupIdentifier"
AWS::M2::Application,M2,7,2,"EngineType, Name"
AWS::Cassandra::Table,Cassandra,15,2,"KeyspaceName, PartitionKeyColumns"
AWS::Cases::Layout,Cases,4,2,"Content, Name"
AWS::MSK::ClusterPolicy,MSK,2,2,"Policy, ClusterArn"
AWS::MSK::Configuration,MSK,5,2,"ServerProperties, Name"
AWS::Cases::Field,Cases,6,2,"Type, Name"
AWS::CleanRoomsML::ConfiguredModelAlgorithm,CleanRoomsML,7,2,"RoleArn, Name"
AWS::Lightsail::InstanceSnapshot,Lightsail,3,2,"InstanceName, InstanceSnapshotName"
AWS::LakeFormation::Resource,LakeFormation,5,2,"ResourceArn, UseServiceLinkedRole"
AWS::Lightsail::DiskSnapshot,Lightsail,3,2,"DiskSnapshotName, DiskName"
AWS::LakeFormation::Tag,LakeFormation,3,2,"TagKey, TagValues"
AWS::LakeFormation::TagAssociation,LakeFormation,2,2,"LFTags, Resource"
AWS::Lambda::CapacityProvider,Lambda,7,2,"VpcConfig, PermissionsConfig"
AWS::Lambda::EventInvokeConfig,Lambda,5,2,"FunctionName, Qualifier"
AWS::Lambda::Function,Lambda,31,2,"Code, Role"
AWS::CloudFormation::ModuleVersion,CloudFormation,2,2,"ModulePackage, ModuleName"
AWS::Lambda::Url,Lambda,5,2,"AuthType, TargetFunctionArn"
AWS::CloudFormation::Macro,CloudFormation,5,2,"FunctionName, Name"
AWS::CloudFormation::HookVersion,CloudFormation,4,2,"TypeName, SchemaHandlerPackage"
AWS::Lex::BotAlias,Lex,8,2,"BotId, BotAliasName"
AWS::Lex::BotVersion,Lex,3,2,"BotId, BotVersionLocaleSpecification"
AWS::Lex::ResourcePolicy,Lex,2,2,"Policy, ResourceArn"
AWS::Lightsail::Bucket,Lightsail,7,2,"BundleId, BucketName"
AWS::Lightsail::Certificate,Lightsail,4,2,"DomainName, CertificateName"
AWS::Cloud9::EnvironmentEC2,Cloud9,10,2,"ImageId, InstanceType"
AWS::Lightsail::DatabaseSnapshot,Lightsail,3,2,"RelationalDatabaseName, RelationalDatabaseSnapshotName"
AWS::Lightsail::Disk,Lightsail,6,2,"SizeInGb, DiskName"
AWS::Batch::ServiceEnvironment,Batch,5,2,"ServiceEnvironmentType, CapacityLimits"
AWS::AutoScaling::LifecycleHook,AutoScaling,8,2,"LifecycleTransition, AutoScalingGroupName"
AWS::Batch::ConsumableResource,Batch,4,2,"TotalQuantity, ResourceType"
AWS::ApiGatewayV2::Stage,ApiGatewayV2,11,2,"StageName, ApiId"
AWS::ApiGatewayV2::Integration,ApiGatewayV2,18,2,"ApiId, IntegrationType"
AWS::SageMaker::MonitoringSchedule,SageMaker,7,2,"MonitoringScheduleConfig, MonitoringScheduleName"
AWS::SageMaker::NotebookInstance,SageMaker,16,2,"RoleArn, InstanceType"
AWS::SageMaker::Space,SageMaker,7,2,"DomainId, SpaceName"
AWS::SageMaker::UserProfile,SageMaker,6,2,"DomainId, UserProfileName"
AWS::SecretsManager::ResourcePolicy,SecretsManager,3,2,"SecretId, ResourcePolicy"
AWS::ApiGateway::VpcLink,ApiGateway,4,2,"TargetArns, Name"
AWS::SecurityAgent::TargetDomain,SecurityAgent,3,2,"VerificationMethod, TargetDomainName"
AWS::SecurityHub::AggregatorV2,SecurityHub,3,2,"RegionLinkingMode, LinkedRegions"
AWS::SecurityHub::ConfigurationPolicy,SecurityHub,4,2,"ConfigurationPolicy, Name"
AWS::SecurityHub::ConnectorV2,SecurityHub,5,2,"Name, Provider"
AWS::SecurityLake::SubscriberNotification,SecurityLake,2,2,"SubscriberArn, NotificationConfiguration"
AWS::ServiceCatalog::CloudFormationProduct,ServiceCatalog,13,2,"Owner, Name"
AWS::ServiceCatalog::LaunchRoleConstraint,ServiceCatalog,6,2,"PortfolioId, ProductId"
AWS::ServiceCatalog::Portfolio,ServiceCatalog,5,2,"ProviderName, DisplayName"
AWS::ServiceCatalog::PortfolioShare,ServiceCatalog,4,2,"AccountId, PortfolioId"
AWS::ApiGateway::GatewayResponse,ApiGateway,5,2,"RestApiId, ResponseType"
AWS::ApiGatewayV2::Route,ApiGatewayV2,12,2,"RouteKey, ApiId"
AWS::SageMaker::InferenceComponent,SageMaker,8,2,"EndpointName, Specification"
AWS::ServiceCatalogAppRegistry::AttributeGroup,ServiceCatalogAppRegistry,4,2,"Attributes, Name"
AWS::SageMaker::ImageVersion,SageMaker,11,2,"ImageName, BaseImage"
AWS::SMSVOICE::SenderId,SMSVOICE,4,2,"SenderId, IsoCountryCode"
AWS::SNS::Subscription,SNS,11,2,"TopicArn, Protocol"
AWS::SNS::TopicInlinePolicy,SNS,2,2,"TopicArn, PolicyDocument"
AWS::SNS::TopicPolicy,SNS,2,2,"Topics, PolicyDocument"
AWS::SQS::QueueInlinePolicy,SQS,2,2,"PolicyDocument, Queue"
AWS::SQS::QueuePolicy,SQS,2,2,"PolicyDocument, Queues"
AWS::AppMesh::VirtualNode,AppMesh,5,2,"MeshName, Spec"
AWS::AppMesh::VirtualGateway,AppMesh,5,2,"MeshName, Spec"
AWS::SSM::Parameter,SSM,9,2,"Type, Value"
AWS::SSM::ResourcePolicy,SSM,2,2,"Policy, ResourceArn"
AWS::SSMIncidents::ResponsePlan,SSMIncidents,8,2,"IncidentTemplate, Name"
AWS::AppFlow::Connector,AppFlow,4,2,"ConnectorProvisioningType, ConnectorProvisioningConfig"
AWS::SSO::PermissionSet,SSO,10,2,"InstanceArn, Name"
AWS::AppConfig::Extension,AppConfig,6,2,"Actions, Name"
AWS::AppConfig::Environment,AppConfig,6,2,"ApplicationId, Name"
AWS::ApiGatewayV2::VpcLink,ApiGatewayV2,4,2,"SubnetIds, Name"
AWS::SageMaker::Image,SageMaker,5,2,"ImageName, ImageRoleArn"
AWS::ServiceCatalog::TagOption,ServiceCatalog,3,2,"Value, Key"
AWS::ServiceCatalogAppRegistry::AttributeGroupAssociation,ServiceCatalogAppRegistry,2,2,"AttributeGroup, Application"
AWS::OpsWorks::Volume,OpsWorks,4,2,"Ec2VolumeId, StackId"
AWS::WAF::XssMatchSet,WAF,2,2,"Name, XssMatchTuples"
AWS::WAFRegional::Rule,WAFRegional,3,2,"MetricName, Name"
AWS::WAFRegional::WebACLAssociation,WAFRegional,2,2,"ResourceArn, WebACLId"
AWS::Amplify::Branch,Amplify,16,2,"AppId, BranchName"
AWS::WAFv2::LoggingConfiguration,WAFv2,4,2,"ResourceArn, LogDestinationConfigs"
AWS::WAFv2::RegexPatternSet,WAFv2,5,2,"RegularExpressionList, Scope"
AWS::AmazonMQ::ConfigurationAssociation,AmazonMQ,2,2,"Broker, Configuration"
AWS::WAFv2::WebACLAssociation,WAFv2,2,2,"ResourceArn, WebACLArn"
AWS::AmazonMQ::Configuration,AmazonMQ,7,2,"EngineType, Name"
AWS::Wisdom::AIAgentVersion,Wisdom,3,2,"AssistantId, AIAgentId"
AWS::Wisdom::AIGuardrailVersion,Wisdom,3,2,"AIGuardrailId, AssistantId"
AWS::Wisdom::AIPromptVersion,Wisdom,3,2,"AssistantId, AIPromptId"
AWS::Wisdom::Assistant,Wisdom,5,2,"Type, Name"
AWS::Wisdom::KnowledgeBase,Wisdom,8,2,"KnowledgeBaseType, Name"
AWS::APS::ResourcePolicy,APS,2,2,"WorkspaceArn, PolicyDocument"
AWS::WorkSpacesWeb::SessionLogger,WorkSpacesWeb,6,2,"EventFilter, LogConfiguration"
AWS::ACMPCA::CertificateAuthorityActivation,ACMPCA,4,2,"CertificateAuthorityArn, Certificate"
AWS::XRay::ResourcePolicy,XRay,3,2,"PolicyName, PolicyDocument"
AWS::WAFRegional::RegexPatternSet,WAFRegional,2,2,"RegexPatternStrings, Name"
AWS::WAF::SizeConstraintSet,WAF,2,2,"Name, SizeConstraints"
AWS::ApiGateway::DocumentationVersion,ApiGateway,3,2,"DocumentationVersion, RestApiId"
AWS::WAF::Rule,WAF,3,2,"MetricName, Name"
AWS::ServiceDiscovery::Instance,ServiceDiscovery,3,2,"InstanceAttributes, ServiceId"
AWS::ServiceDiscovery::PrivateDnsNamespace,ServiceDiscovery,5,2,"Vpc, Name"
AWS::Shield::ProactiveEngagement,Shield,2,2,"ProactiveEngagementStatus, EmergencyContactList"
AWS::Shield::Protection,Shield,5,2,"ResourceArn, Name"
AWS::SimSpaceWeaver::Simulation,SimSpaceWeaver,5,2,"RoleArn, Name"
AWS::ApiGateway::BasePathMappingV2,ApiGateway,4,2,"DomainNameArn, RestApiId"
AWS::SystemsManagerSAP::Application,SystemsManagerSAP,9,2,"ApplicationType, ApplicationId"
AWS::Transfer::Certificate,Transfer,8,2,"Usage, Certificate"
AWS::Transfer::Profile,Transfer,4,2,"As2Id, ProfileType"
AWS::VerifiedPermissions::IdentitySource,VerifiedPermissions,3,2,"Configuration, PolicyStoreId"
AWS::VerifiedPermissions::Policy,VerifiedPermissions,2,2,"Definition, PolicyStoreId"
AWS::VerifiedPermissions::PolicyTemplate,VerifiedPermissions,3,2,"Statement, PolicyStoreId"
AWS::VoiceID::Domain,VoiceID,4,2,"ServerSideEncryptionConfiguration, Name"
AWS::VpcLattice::AuthPolicy,VpcLattice,2,2,"Policy, ResourceIdentifier"
AWS::VpcLattice::Listener,VpcLattice,6,2,"DefaultAction, Protocol"
AWS::VpcLattice::ResourceConfiguration,VpcLattice,13,2,"Name, ResourceConfigurationType"
AWS::VpcLattice::ResourcePolicy,VpcLattice,2,2,"Policy, ResourceArn"
AWS::SMSVOICE::ResourcePolicy,SMSVOICE,2,2,"ResourceArn, PolicyDocument"
AWS::SMSVOICE::Pool,SMSVOICE,9,2,"OriginationIdentities, MandatoryKeywords"
AWS::AppMesh::VirtualRouter,AppMesh,5,2,"MeshName, Spec"
AWS::QuickSight::CustomPermissions,QuickSight,4,2,"CustomPermissionsName, AwsAccountId"
AWS::QuickSight::Template,QuickSight,9,2,"AwsAccountId, TemplateId"
AWS::Athena::NamedQuery,Athena,5,2,"QueryString, Database"
AWS::RDS::CustomDBEngineVersion,RDS,12,2,"EngineVersion, Engine"
AWS::Athena::DataCatalog,Athena,8,2,"Type, Name"
AWS::RDS::DBParameterGroup,RDS,5,2,"Description, Family"
AWS::Athena::CapacityReservation,Athena,4,2,"TargetDpus, Name"
AWS::RDS::DBProxyTargetGroup,RDS,5,2,"DBProxyName, TargetGroupName"
AWS::RDS::DBSecurityGroup,RDS,4,2,"DBSecurityGroupIngress, GroupDescription"
AWS::RDS::DBShardGroup,RDS,7,2,"DBClusterIdentifier, MaxACU"
AWS::RDS::DBSubnetGroup,RDS,4,2,"DBSubnetGroupDescription, SubnetIds"
AWS::RDS::Integration,RDS,8,2,"SourceArn, TargetArn"
AWS::RTBFabric::InboundExternalLink,RTBFabric,4,2,"LinkLogSettings, GatewayId"
AWS::ApplicationAutoScaling::ScalingPolicy,ApplicationAutoScaling,9,2,"PolicyType, PolicyName"
AWS::AppTest::TestCase,AppTest,4,2,"Steps, Name"
AWS::Rbin::Rule,Rbin,8,2,"ResourceType, RetentionPeriod"
AWS::Redshift::ClusterParameterGroup,Redshift,5,2,"Description, ParameterGroupFamily"
AWS::Redshift::ClusterSubnetGroup,Redshift,3,2,"Description, SubnetIds"
AWS::QuickSight::DataSource,QuickSight,13,2,"Name, Type"
AWS::AutoScaling::AutoScalingGroup,AutoScaling,37,2,"MaxSize, MinSize"
AWS::SES::ReceiptRule,SES,3,2,"Rule, RuleSetName"
AWS::AutoScaling::LaunchConfiguration,AutoScaling,19,2,"ImageId, InstanceType"
AWS::Organizations::Account,Organizations,5,2,"Email, AccountName"
AWS::Organizations::OrganizationalUnit,Organizations,3,2,"ParentId, Name"
AWS::PCAConnectorAD::TemplateGroupAccessControlEntry,PCAConnectorAD,4,2,"AccessRights, GroupDisplayName"
AWS::Backup::ReportPlan,Backup,5,2,"ReportSetting, ReportDeliveryChannel"
AWS::Panorama::ApplicationInstance,Panorama,8,2,"DefaultRuntimeContextDevice, ManifestPayload"
AWS::PaymentCryptography::Key,PaymentCryptography,7,2,"Exportable, KeyAttributes"
AWS::Personalize::Schema,Personalize,3,2,"Schema, Name"
AWS::Personalize::Solution,Personalize,7,2,"DatasetGroupArn, Name"
AWS::Backup::BackupSelection,Backup,2,2,"BackupSelection, BackupPlanId"
AWS::Pinpoint::EmailTemplate,Pinpoint,7,2,"TemplateName, Subject"
AWS::B2BI::Transformer,B2BI,7,2,"Status, Name"
AWS::Pinpoint::Segment,Pinpoint,5,2,"ApplicationId, Name"
AWS::Pinpoint::SmsTemplate,Pinpoint,5,2,"TemplateName, Body"
AWS::PinpointEmail::ConfigurationSetEventDestination,PinpointEmail,3,2,"EventDestinationName, ConfigurationSetName"
AWS::AutoScalingPlans::ScalingPlan,AutoScalingPlans,2,2,"ApplicationSource, ScalingInstructions"
AWS::QBusiness::Index,QBusiness,7,2,"DisplayName, ApplicationId"
AWS::CloudTrail::Trail,CloudTrail,17,2,"S3BucketName, IsLogging"
AWS::Redshift::EndpointAuthorization,Redshift,4,2,"Account, ClusterIdentifier"
AWS::Redshift::Integration,Redshift,6,2,"SourceArn, TargetArn"
AWS::AppSync::GraphQLApi,AppSync,18,2,"Name, AuthenticationType"
AWS::Rekognition::StreamProcessor,Rekognition,13,2,"RoleArn, KinesisVideoStream"
AWS::S3::AccessGrantsLocation,S3,3,2,"LocationScope, IamRoleArn"
AWS::S3::BucketPolicy,S3,2,2,"Bucket, PolicyDocument"
AWS::S3::MultiRegionAccessPointPolicy,S3,2,2,"Policy, MrapName"
AWS::S3::StorageLensGroup,S3,3,2,"Filter, Name"
AWS::S3Express::BucketPolicy,S3Express,2,2,"Bucket, PolicyDocument"
AWS::S3Express::DirectoryBucket,S3Express,6,2,"DataRedundancy, LocationName"
AWS::S3ObjectLambda::AccessPointPolicy,S3ObjectLambda,2,2,"PolicyDocument, ObjectLambdaAccessPoint"
AWS::AppStream::AppBlock,AppStream,8,2,"SourceS3Location, Name"
AWS::S3Outposts::Bucket,S3Outposts,4,2,"OutpostId, BucketName"
AWS::S3Outposts::BucketPolicy,S3Outposts,2,2,"Bucket, PolicyDocument"
AWS::AppRunner::VpcIngressConnection,AppRunner,4,2,"ServiceArn, IngressVpcConfiguration"
AWS::S3Tables::Namespace,S3Tables,2,2,"TableBucketARN, Namespace"
AWS::S3Tables::TableBucketPolicy,S3Tables,2,2,"TableBucketARN, ResourcePolicy"
AWS::S3Tables::TablePolicy,S3Tables,2,2,"TableARN, ResourcePolicy"
AWS::SES::ConfigurationSetEventDestination,SES,2,2,"ConfigurationSetName, EventDestination"
AWS::SES::MailManagerTrafficPolicy,SES,5,2,"DefaultAction, PolicyStatements"
AWS::SES::MultiRegionEndpoint,SES,3,2,"Details, EndpointName"
AWS::Route53Resolver::ResolverRuleAssociation,Route53Resolver,3,2,"VPCId, ResolverRuleId"
AWS::AppStream::ApplicationFleetAssociation,AppStream,2,2,"FleetName, ApplicationArn"
AWS::Route53Resolver::ResolverConfig,Route53Resolver,2,2,"ResourceId, AutodefinedReverseFlag"
AWS::RolesAnywhere::TrustAnchor,RolesAnywhere,5,2,"Source, Name"
AWS::AppSync::DomainNameApiAssociation,AppSync,2,2,"DomainName, ApiId"
AWS::AppSync::DomainName,AppSync,4,2,"DomainName, CertificateArn"
AWS::RoboMaker::Robot,RoboMaker,5,2,"Architecture, GreengrassGroupId"
AWS::RoboMaker::RobotApplication,RoboMaker,5,2,"RobotSoftwareSuite, Sources"
AWS::AppSync::ChannelNamespace,AppSync,8,2,"ApiId, Name"
AWS::RolesAnywhere::CRL,RolesAnywhere,5,2,"CrlData, Name"
AWS::RolesAnywhere::Profile,RolesAnywhere,10,2,"RoleArns, Name"
AWS::Route53::RecordSet,Route53,17,2,"Name, Type"
AWS::AppStream::Fleet,AppStream,24,2,"Name, InstanceType"
AWS::Route53GlobalResolver::DnsView,Route53GlobalResolver,8,2,"GlobalResolverId, Name"
AWS::Route53GlobalResolver::FirewallDomainList,Route53GlobalResolver,7,2,"GlobalResolverId, Name"
AWS::AppStream::User,AppStream,5,2,"UserName, AuthenticationType"
AWS::Route53GlobalResolver::GlobalResolver,Route53GlobalResolver,7,2,"Regions, Name"
AWS::AppStream::StackFleetAssociation,AppStream,2,2,"FleetName, StackName"
AWS::AppStream::ImageBuilder,AppStream,16,2,"Name, InstanceType"
AWS::Route53RecoveryReadiness::ResourceSet,Route53RecoveryReadiness,4,2,"ResourceSetType, Resources"
AWS::CloudTrail::ResourcePolicy,CloudTrail,2,2,"ResourceArn, ResourcePolicy"
AWS::MWAAServerless::Workflow,MWAAServerless,9,2,"DefinitionS3Location, RoleArn"
AWS::ECR::RepositoryCreationTemplate,ECR,10,2,"AppliedFor, Prefix"
AWS::Config::AggregationAuthorization,Config,3,2,"AuthorizedAccountId, AuthorizedAwsRegion"
AWS::ElementalInference::Feed,ElementalInference,3,2,"Outputs, Name"
AWS::Cognito::UserPoolDomain,Cognito,4,2,"UserPoolId, Domain"
AWS::ElasticLoadBalancingV2::ListenerCertificate,ElasticLoadBalancingV2,2,2,"Certificates, ListenerArn"
AWS::ElasticLoadBalancingV2::Listener,ElasticLoadBalancingV2,9,2,"LoadBalancerArn, DefaultActions"
AWS::ElasticBeanstalk::ApplicationVersion,ElasticBeanstalk,3,2,"ApplicationName, SourceBundle"
AWS::ElastiCache::SubnetGroup,ElastiCache,4,2,"Description, SubnetIds"
AWS::ElastiCache::ServerlessCache,ElastiCache,16,2,"ServerlessCacheName, Engine"
AWS::ElastiCache::SecurityGroupIngress,ElastiCache,3,2,"CacheSecurityGroupName, EC2SecurityGroupName"
AWS::ElastiCache::ParameterGroup,ElastiCache,4,2,"Description, CacheParameterGroupFamily"
AWS::Cognito::UserPoolRiskConfigurationAttachment,Cognito,5,2,"UserPoolId, ClientId"
AWS::Cognito::UserPoolUICustomizationAttachment,Cognito,3,2,"UserPoolId, ClientId"
AWS::EMRServerless::Application,EMRServerless,17,2,"Type, ReleaseLabel"
AWS::EMRContainers::VirtualCluster,EMRContainers,4,2,"ContainerProvider, Name"
AWS::EMR::InstanceFleetConfig,EMR,8,2,"ClusterId, InstanceFleetType"
AWS::Greengrass::CoreDefinitionVersion,Greengrass,2,2,"Cores, CoreDefinitionId"
AWS::EKS::IdentityProviderConfig,EKS,5,2,"Type, ClusterName"
AWS::EKS::Cluster,EKS,19,2,"RoleArn, ResourcesVpcConfig"
AWS::EKS::Addon,EKS,10,2,"ClusterName, AddonName"
AWS::EKS::AccessEntry,EKS,7,2,"PrincipalArn, ClusterName"
AWS::Config::StoredQuery,Config,4,2,"QueryExpression, QueryName"
AWS::ECS::ClusterCapacityProviderAssociations,ECS,3,2,"DefaultCapacityProviderStrategy, Cluster"
AWS::ECR::RegistryScanningConfiguration,ECR,2,2,"ScanType, Rules"
AWS::EC2::VolumeAttachment,EC2,4,2,"VolumeId, InstanceId"
AWS::EC2::VerifiedAccessTrustProvider,EC2,10,2,"PolicyReferenceName, TrustProviderType"
AWS::Connect::ApprovedOrigin,Connect,2,2,"Origin, InstanceId"
AWS::EC2::VPNGatewayRoutePropagation,EC2,2,2,"RouteTableIds, VpnGatewayId"
AWS::EC2::VPNConnectionRoute,EC2,2,2,"DestinationCidrBlock, VpnConnectionId"
AWS::EC2::VPNConnection,EC2,18,2,"CustomerGatewayId, Type"
AWS::EntityResolution::IdNamespace,EntityResolution,7,2,"IdNamespaceName, Type"
AWS::EntityResolution::PolicyStatement,EntityResolution,6,2,"StatementId, Arn"
AWS::EntityResolution::SchemaMapping,EntityResolution,4,2,"MappedInputFields, SchemaName"
AWS::EventSchemas::RegistryPolicy,EventSchemas,3,2,"Policy, RegistryName"
AWS::Glue::Trigger,Glue,10,2,"Type, Actions"
AWS::Glue::SecurityConfiguration,Glue,2,2,"EncryptionConfiguration, Name"
AWS::Glue::SchemaVersion,Glue,2,2,"SchemaDefinition, Schema"
AWS::CodeArtifact::PackageGroup,CodeArtifact,7,2,"Pattern, DomainName"
AWS::CodeArtifact::Repository,CodeArtifact,8,2,"DomainName, RepositoryName"
AWS::Glue::Job,Glue,23,2,"Role, Command"
AWS::CodeBuild::ReportGroup,CodeBuild,5,2,"Type, ExportConfig"
AWS::Glue::Database,Glue,3,2,"DatabaseInput, CatalogId"
AWS::Glue::DataCatalogEncryptionSettings,Glue,2,2,"DataCatalogEncryptionSettings, CatalogId"
AWS::Glue::Crawler,Glue,14,2,"Targets, Role"
AWS::Glue::Connection,Glue,2,2,"ConnectionInput, CatalogId"
AWS::GlobalAccelerator::EndpointGroup,GlobalAccelerator,10,2,"ListenerArn, EndpointGroupRegion"
AWS::GameLift::MatchmakingRuleSet,GameLift,3,2,"RuleSetBody, Name"
AWS::GameLift::Alias,GameLift,4,2,"RoutingStrategy, Name"
AWS::CodeDeploy::DeploymentGroup,CodeDeploy,20,2,"ApplicationName, ServiceRoleArn"
AWS::Forecast::DatasetGroup,Forecast,4,2,"DatasetGroupName, Domain"
AWS::CodeGuruReviewer::RepositoryAssociation,CodeGuruReviewer,6,2,"Type, Name"
AWS::FSx::StorageVirtualMachine,FSx,6,2,"FileSystemId, Name"
AWS::FSx::Snapshot,FSx,3,2,"VolumeId, Name"
AWS::FSx::S3AccessPointAttachment,FSx,5,2,"Type, Name"
AWS::FSx::FileSystem,FSx,14,2,"SubnetIds, FileSystemType"
AWS::CodePipeline::Pipeline,CodePipeline,12,2,"Stages, RoleArn"
AWS::FMS::ResourceSet,FMS,5,2,"ResourceTypeList, Name"
AWS::CodeStar::GitHubRepository,CodeStar,8,2,"RepositoryName, RepositoryOwner"
AWS::FMS::NotificationChannel,FMS,2,2,"SnsTopicArn, SnsRoleName"
AWS::Cognito::IdentityPoolPrincipalTag,Cognito,4,2,"IdentityProviderName, IdentityPoolId"
AWS::Events::Endpoint,Events,6,2,"EventBuses, RoutingConfig"
AWS::EC2::VPNConcentrator,EC2,3,2,"TransitGatewayId, Type"
AWS::EC2::VPCPeeringConnection,EC2,7,2,"VpcId, PeerVpcId"
AWS::EC2::VPCEndpointConnectionNotification,EC2,4,2,"ConnectionEvents, ConnectionNotificationArn"
AWS::EC2::CustomerGateway,EC2,7,2,"Type, IpAddress"
AWS::Connect::SecurityKey,Connect,2,2,"InstanceId, Key"
AWS::EC2::ClientVpnAuthorizationRule,EC2,5,2,"ClientVpnEndpointId, TargetNetworkCidr"
AWS::Connect::SecurityProfile,Connect,12,2,"InstanceArn, SecurityProfileName"
AWS::Connect::TrafficDistributionGroup,Connect,4,2,"InstanceArn, Name"
AWS::DocDB::DBSubnetGroup,DocDB,4,2,"DBSubnetGroupDescription, SubnetIds"
AWS::DocDB::DBInstance,DocDB,10,2,"DBInstanceClass, DBClusterIdentifier"
AWS::Connect::UserHierarchyGroup,Connect,4,2,"InstanceArn, Name"
AWS::Connect::Workspace,Connect,10,2,"InstanceArn, Name"
AWS::ConnectCampaignsV2::Campaign,ConnectCampaignsV2,10,2,"ConnectInstanceId, Name"
AWS::ControlTower::EnabledControl,ControlTower,4,2,"ControlIdentifier, TargetIdentifier"
AWS::DirectConnect::DirectConnectGatewayAssociation,DirectConnect,4,2,"DirectConnectGatewayId, AssociatedGatewayId"
AWS::ControlTower::LandingZone,ControlTower,4,2,"Version, Manifest"
AWS::CustomerProfiles::Domain,CustomerProfiles,8,2,"DefaultExpirationDays, DomainName"
